fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
7.0,4x2,Automático,449,Estándar,3.0,7.0,Combustión,516,Sí,Mercedes Benz,9
10.0,4x4,Automático,310,Estándar,3.0,8.0,Combustión,325,Sí,Audi,7
11.0,4x4,Automático,300,Estándar,2.0,8.0,Combustión,295,Sí,Jaguar Xe,6
17.0,4x2,Automático,150,Estándar,1.4,7.0,Combustión,148,Sí,Seat,6
12.0,4x4,Automático,320,Gasolina,2.0,8.0,Combustión,295,Sí,Volvo,7
9.0,4x4,Automático,302,Gasolina,3.5,7.0,Combustión,273,No,Mercedes Benz,11
8.0,4x4,Automático,328,Gasolina,3.0,7.0,Combustión,354,Sí,Mercedes Benz,8
13.0,4x2,Automático,190,Gasolina,2.0,8.0,Combustión,221,Sí,Volvo,5
9.0,4x2,Automático,247,Gasolina,2.0,10.0,Combustión,273,Sí,Honda,7
12.0,4x4,Automático,224,Gasolina,2.0,8.0,Combustión,258,Sí,Mercedes Benz,5
9.0,4x2,Automático,330,Estándar,3.7,7.0,Combustión,270,No,Infiniti,9
7.0,4x4,Automático,449,Estándar,3.5,9.0,Combustión,516,Sí,Mercedes Benz,7
14.0,4x4,Automático,181,Gasolina,1.5,8.0,Combustión,190,Sí,Ford,4
9.0,4x2,Automático,315,Gasolina,2.7,6.0,Combustión,350,Sí,Ford,8
9.0,4x4,Automático,310,Gasolina,3.6,6.0,Combustión,271,No,Gmc,8
10.0,4x4,Automático,242,Gasolina,2.0,9.0,Combustión,273,Sí,Mercedes Benz,6
9.0,4x4,Automático,271,Gasolina,3.2,9.0,Combustión,239,No,Jeep,10
12.0,4x2,Automático,272,Estándar,2.0,8.0,Combustión,260,Sí,Cadillac,9
9.0,4x2,Automático,240,Gasolina,2.0,6.0,Combustión,270,Sí,Ford,8
13.0,4x2,Automático,138,Gasolina,1.4,6.0,Combustión,148,Sí,Buick,8
11.0,4x4,Automático,248,Gasolina,2.0,7.0,Combustión,273,Sí,Audi,7
15.0,4x2,Automático,138,Gasolina,1.4,6.0,Combustión,162,Sí,Suzuki,7
13.0,4x2,Automático,192,Gasolina,2.0,7.0,Combustión,206,Sí,Mini,4
17.0,4x2,Automático,148,Gasolina,1.4,7.0,Combustión,184,Sí,Volkswagen,7
9.0,4x4,Automático,328,Estándar,3.0,7.0,Combustión,325,Sí,Audi,9
5.0,4x4,Automático,450,Gasolina,4.8,8.0,Combustión,479,Sí,Bmw,9
10.0,4x4,Automático,302,Gasolina,3.0,8.0,Combustión,295,Sí,Bmw,10
11.0,4x2,Automático,231,Gasolina,2.0,6.0,Combustión,207,Sí,Mini,8
9.0,4x2,Automático,208,Gasolina,2.0,7.0,Combustión,258,Sí,Mercedes Benz,8
10.0,4x4,Automático,302,Gasolina,3.0,8.0,Combustión,295,Sí,Bmw,8
