horsepower3,displacement,gears,torque_log,age,fuel_consumption_km_l
90518849,3.0,7.0,6.246106765481563,9,7.0
29791000,3.0,8.0,5.783825182329737,7,10.0
27000000,2.0,8.0,5.68697535633982,6,11.0
3375000,1.4,7.0,4.997212273764115,6,17.0
32768000,2.0,8.0,5.68697535633982,7,12.0
27543608,3.5,7.0,5.60947179518496,11,9.0
35287552,3.0,7.0,5.869296913133774,8,8.0
6859000,2.0,8.0,5.3981627015177525,5,13.0
15069223,2.0,10.0,5.60947179518496,7,9.0
11239424,2.0,8.0,5.552959584921617,5,12.0
35937000,3.7,7.0,5.598421958998375,9,9.0
90518849,3.5,9.0,6.246106765481563,7,7.0
5929741,1.5,8.0,5.247024072160486,4,14.0
31255875,2.7,6.0,5.857933154483459,8,9.0
29791000,3.6,6.0,5.602118820879701,8,9.0
14172488,2.0,9.0,5.60947179518496,6,10.0
19902511,3.2,9.0,5.476463551931511,10,9.0
20123648,2.0,8.0,5.560681631015528,9,12.0
13824000,2.0,6.0,5.598421958998375,8,9.0
2628072,1.4,6.0,4.997212273764115,8,13.0
15252992,2.0,7.0,5.60947179518496,7,11.0
2628072,1.4,6.0,5.087596335232384,7,15.0
7077888,2.0,7.0,5.327876168789581,4,13.0
3241792,1.4,7.0,5.214935757608986,7,17.0
35287552,3.0,7.0,5.783825182329737,9,9.0
91125000,4.8,8.0,6.171700597410915,9,5.0
27543608,3.0,8.0,5.68697535633982,10,10.0
12326391,2.0,6.0,5.332718793265369,8,11.0
8998912,2.0,7.0,5.552959584921617,8,9.0
27543608,3.0,8.0,5.68697535633982,8,10.0
3375000,1.4,8.0,5.214935757608986,5,17.0
8998912,2.0,7.0,5.552959584921617,10,9.0
6229504,2.0,8.0,5.736572297479192,7,13.0
140608000,4.8,8.0,6.246106765481563,10,6.0
24389000,3.5,6.0,5.541263545158426,8,9.0
7077888,2.0,8.0,5.332718793265369,6,13.0
5639752,2.0,7.0,5.4638318050256105,7,12.0
3375000,1.4,6.0,5.214935757608986,5,9.0
20346417,3.7,6.0,5.598421958998375,10,9.0
7077888,2.0,7.0,5.327876168789581,5,13.0
15625000,2.5,6.0,5.736572297479192,7,10.0
24389000,3.7,9.0,5.58724865840025,8,6.0
6434856,2.5,6.0,5.225746673713202,3,9.0
4330747,1.6,6.0,5.176149732573829,5,10.0
16003008,2.0,8.0,5.552959584921617,5,7.0
1331000,1.6,6.0,4.736198448394496,4,14.0
3241792,1.4,6.0,5.176149732573829,8,14.0
3241792,1.4,6.0,5.176149732573829,8,14.0
6644672,2.5,6.0,5.214935757608986,8,9.0
3048625,1.8,6.0,4.976733742420574,4,14.0
18821096,3.5,6.0,5.501258210544727,10,9.0
5929741,2.4,6.0,5.1647859739235145,9,12.0
16003008,2.0,8.0,5.736572297479192,5,14.0
5929741,2.0,7.0,5.3981627015177525,10,9.0
19902511,3.2,9.0,5.476463551931511,6,9.0
16003008,2.5,7.0,5.60947179518496,7,12.0
3241792,1.4,6.0,5.214935757608986,6,14.0
5929741,1.5,9.0,5.332718793265369,6,14.0
3375000,1.5,7.0,5.214935757608986,5,16.0
5832000,2.0,7.0,5.4638318050256105,4,12.0
97336000,5.0,10.0,6.040254711277414,5,8.0
3375000,1.4,6.0,5.214935757608986,5,14.0
13824000,2.0,6.0,5.598421958998375,7,9.0
2515456,2.0,6.0,5.087596335232384,5,13.0
28372625,3.6,9.0,5.556828061699537,7,8.0
15252992,2.0,7.0,5.60947179518496,6,11.0
2197000,1.2,6.0,5.135798437050262,3,11.0
3944312,1.4,6.0,5.176149732573829,9,14.0
14706125,2.0,6.0,5.560681631015528,7,11.0
6859000,2.0,7.0,5.4638318050256105,8,11.0
3796416,1.6,7.0,5.214935757608986,7,15.0
24389000,3.6,8.0,5.560681631015528,11,9.0
6859000,2.0,7.0,5.4638318050256105,6,15.0
16387064,2.0,9.0,5.60947179518496,6,10.0
3375000,1.4,8.0,5.214935757608986,4,17.0
3581577,1.4,6.0,5.176149732573829,8,16.0
15625000,2.5,6.0,5.736572297479192,7,9.0
16003008,2.0,8.0,5.552959584921617,7,12.0
2515456,2.0,6.0,5.087596335232384,6,13.0
24389000,3.3,6.0,5.529429087511423,7,10.0
5929741,2.4,6.0,5.1647859739235145,5,14.0
3241792,1.4,6.0,5.214935757608986,6,15.0
27270901,3.6,6.0,5.605802066295998,8,9.0
11543176,2.0,6.0,5.583496308781699,4,10.0
5929741,2.0,8.0,5.293304824724492,8,12.0
9393931,2.0,7.0,5.552959584921617,6,12.0
3581577,2.0,6.0,4.955827057601261,7,12.0
5929741,2.0,7.0,5.3981627015177525,7,9.0
11543176,2.0,6.0,5.583496308781699,3,10.0
13824000,2.0,6.0,5.521460917862246,10,7.0
1771561,1.6,6.0,4.709530201312334,8,14.0
5929741,2.0,8.0,5.365976015021851,6,12.0
1643032,1.6,6.0,4.74493212836325,9,16.0
16003008,2.0,7.0,5.60947179518496,7,12.0
6434856,2.5,6.0,5.225746673713202,5,9.0
6751269,2.0,7.0,5.332718793265369,6,11.0
2628072,1.4,6.0,4.997212273764115,10,13.0
24389000,3.3,6.0,5.529429087511423,8,9.0
1259712,1.2,6.0,5.017279836814924,5,15.0
5929741,1.8,7.0,5.293304824724492,11,9.0
15438249,2.0,8.0,5.552959584921617,9,12.0
1643032,1.6,6.0,4.74493212836325,3,16.0
3176523,2.0,6.0,4.882801922586371,7,13.0
3796416,1.6,7.0,5.214935757608986,10,15.0
2197000,1.8,6.0,4.897839799950911,5,12.0
6859000,2.0,7.0,5.4638318050256105,8,15.0
34965783,3.7,7.0,5.58724865840025,8,8.0
24389000,3.3,8.0,5.529429087511423,6,9.0
7077888,2.0,7.0,5.327876168789581,5,14.0
1643032,1.6,6.0,4.74493212836325,7,16.0
3652264,1.6,7.0,5.214935757608986,10,13.0
6229504,2.4,9.0,5.14166355650266,11,9.0
3375000,1.4,7.0,5.214935757608986,5,17.0
3796416,1.6,7.0,5.214935757608986,6,15.0
3241792,1.4,6.0,5.214935757608986,6,15.0
21717639,2.5,6.0,5.529429087511423,8,8.0
4913000,1.4,6.0,5.214935757608986,6,15.0
24389000,3.6,8.0,5.560681631015528,9,9.0
1953125,1.4,6.0,4.997212273764115,6,16.0
2248091,2.0,4.0,4.955827057601261,7,12.0
6644672,2.5,6.0,5.220355825078324,7,10.0
4913000,2.0,7.0,5.030437921392435,12,12.0
4913000,1.5,6.0,5.313205979041787,5,9.0
14172488,2.0,8.0,5.652489180268651,11,7.0
1331000,1.0,5.0,4.8283137373023015,5,19.0
2628072,1.4,7.0,5.214935757608986,10,17.0
22188041,3.6,6.0,5.583496308781699,11,9.0
19248832,3.5,6.0,5.5134287461649825,8,9.0
14172488,2.0,8.0,5.552959584921617,8,11.0
1331000,1.6,6.0,4.736198448394496,5,15.0
3796416,1.6,7.0,5.214935757608986,11,15.0
5832000,2.4,6.0,5.1647859739235145,5,12.0
7077888,2.0,8.0,5.332718793265369,7,13.0
1953125,1.4,7.0,4.997212273764115,8,15.0
6859000,2.0,7.0,5.4638318050256105,8,11.0
7645373,2.5,6.0,5.25227342804663,12,13.0
1331000,1.6,6.0,4.736198448394496,4,14.0
3176523,2.0,6.0,4.882801922586371,8,17.0
2744000,1.8,6.0,4.859812404361672,6,15.0
1331000,1.6,6.0,4.736198448394496,5,14.0
22665187,3.6,6.0,5.560681631015528,7,8.0
3375000,1.4,8.0,5.214935757608986,3,14.0
1331000,1.6,5.0,4.736198448394496,6,15.0
6644672,2.5,6.0,5.214935757608986,7,8.0
3723875,2.0,6.0,4.962844630259907,7,14.0
2197000,1.8,6.0,4.897839799950911,6,12.0
44738875,5.3,6.0,5.948034989180646,9,8.0
65450827,6.2,6.0,6.0330862217988015,12,7.0
6644672,1.6,6.0,5.176149732573829,6,13.0
1442897,1.6,5.0,4.762173934797756,6,12.0
24389000,3.6,5.0,5.560681631015528,14,9.0
2197000,1.8,6.0,4.897839799950911,3,12.0
27000000,4.8,6.0,5.68697535633982,11,9.0
7645373,1.6,6.0,5.308267697401205,6,15.0
3375000,2.0,6.0,4.955827057601261,7,14.0
3375000,2.0,6.0,4.948759890378168,8,13.0
1124864,1.6,6.0,4.727387818712341,7,9.0
6434856,2.5,6.0,5.225746673713202,4,9.0
5088448,2.4,6.0,5.10594547390058,9,12.0
1520875,1.6,6.0,4.736198448394496,10,13.0
4741632,2.5,6.0,5.176149732573829,8,11.0
4741632,2.5,6.0,5.135798437050262,8,9.0
1157625,1.6,5.0,4.727387818712341,5,14.0
7077888,2.0,6.0,5.332718793265369,9,13.0
3241792,2.0,6.0,4.948759890378168,8,15.0
6644672,2.5,6.0,5.225746673713202,6,14.0
1520875,1.6,6.0,4.736198448394496,9,13.0
1331000,1.6,6.0,4.736198448394496,9,15.0
4741632,2.5,6.0,5.176149732573829,9,11.0
1643032,1.6,5.0,4.700480365792417,4,16.0
24389000,3.5,6.0,5.541263545158426,11,9.0
54872000,3.0,8.0,6.059123195581797,12,10.0
3723875,2.0,6.0,4.997212273764115,11,14.0
8120601,2.5,8.0,5.181783550292085,6,15.0
