traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age,body_type
4x2,Automático,156,Gasolina,1.6,7.0,Combustión,184,Sí,Mercedes Benz,11,Coupe
4x2,Automático,136,Gasolina,2.0,6.0,Combustión,162,Sí,Mini,5,Hatchback
4x2,Automático,121,Gasolina,1.5,6.0,Combustión,109,No,Ford,4,Sedan
4x2,Automático,150,Estándar,1.4,7.0,Combustión,184,Sí,Audi,7,Hatchback
4x2,Automático,168,Gasolina,2.5,6.0,Combustión,177,No,Volkswagen,13,Sedan
4x2,Automático,327,Estándar,3.7,7.0,Combustión,269,No,Infiniti,7,Sedan
4x4,Automático,279,Gasolina,2.5,6.0,Combustión,252,No,Acura,9,Suv
4x2,Automático,107,Estándar,1.6,4.0,Combustión,104,No,Chevrolet,7,Sedan
4x4,Automático,288,Gasolina,3.6,6.0,Combustión,270,No,Buick,11,Suv
4x2,Automático,138,Gasolina,1.4,7.0,Combustión,178,Sí,Hyundai,4,Suv
4x2,Automático,148,Gasolina,1.4,6.0,Combustión,184,Sí,Volkswagen,7,Suv
4x2,Manual,120,Gasolina,1.6,5.0,Combustión,112,No,Ford,6,Sedan
4x2,Automático,131,Gasolina,2.0,4.0,Combustión,142,No,Renault,10,Suv
4x2,Automático,181,Gasolina,2.0,8.0,Combustión,199,Sí,Bmw,9,Sedan
4x2,Automático,201,Gasolina,2.5,8.0,Combustión,178,No,Toyota,6,Sedan
4x2,Manual,129,Gasolina,1.8,6.0,Combustión,128,No,Nissan,8,Sedan
4x4,Automático,327,Estándar,3.7,7.0,Combustión,267,No,Infiniti,8,Suv
4x2,Automático,154,Gasolina,1.6,7.0,Combustión,184,Sí,Mercedes Benz,8,Sedan
4x2,Manual,100,Gasolina,1.6,5.0,Combustión,105,No,Volkswagen,6,Hatchback
4x2,Manual,88,Gasolina,1.2,5.0,Combustión,88,No,Hyundai,8,Hatchback
4x2,Manual,125,Diesel,2.2,6.0,Combustión,258,Sí,Ford,4,Van
4x2,Manual,140,Gasolina,1.8,5.0,Combustión,129,No,Chevrolet,10,Suv
4x2,Automático,136,Gasolina,1.5,6.0,Combustión,162,Sí,Mini,5,Hatchback
4x2,Manual,112,Gasolina,1.6,5.0,Combustión,110,No,Chevrolet,12,Sedan
4x2,Automático,120,Gasolina,1.6,6.0,Combustión,112,No,Kia,6,Hatchback
4x2,Automático,122,Gasolina,1.4,7.0,Combustión,148,Sí,Audi,9,Hatchback
4x2,Manual,69,Gasolina,1.0,5.0,Combustión,68,No,Fiat,8,Hatchback
4x2,Manual,81,Gasolina,1.2,5.0,Combustión,80,No,Chevrolet,10,Hatchback
4x2,Automático,278,Gasolina,2.4,6.0,Combustión,252,No,Honda,11,Sedan
4x2,Automático,250,Gasolina,2.0,8.0,Combustión,275,Sí,Ford,5,Suv
4x2,Manual,121,Gasolina,1.6,6.0,Combustión,111,No,Kia,3,Suv
4x2,Automático,104,Gasolina,1.6,4.0,Combustión,107,No,Renault,8,Hatchback
4x2,Automático,181,Estándar,2.0,7.0,Combustión,199,Sí,Mercedes Benz,11,Sedan
4x2,Manual,69,Gasolina,1.0,5.0,Combustión,68,No,Fiat,6,Hatchback
4x2,Manual,85,Gasolina,1.4,5.0,Combustión,90,No,Fiat,9,Hatchback
4x4,Automático,380,Estándar,3.0,8.0,Eléctrico,428,Sí,Porsche,12,Suv
4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Kia,5,Sedan
4x2,Manual,81,Gasolina,1.2,5.0,Combustión,80,No,Chevrolet,7,Sedan
4x2,Automático,115,Estándar,1.6,6.0,Combustión,114,No,Chevrolet,8,Sedan
4x2,Automático,290,Gasolina,3.5,6.0,Combustión,255,No,Ford,10,Suv
4x4,Automático,449,Estándar,3.5,9.0,Combustión,516,Sí,Mercedes Benz,7,Suv
4x2,Manual,166,Gasolina,2.4,6.0,Combustión,178,No,Nissan,7,Pickup
4x2,Manual,110,Gasolina,1.6,5.0,Combustión,114,No,Seat,7,Hatchback
4x2,Manual,107,Estándar,1.5,5.0,Combustión,104,No,Toyota,7,Hatchback
4x2,Automático,192,Estándar,2.0,6.0,Combustión,206,Sí,Mini,7,Convertible
4x2,Manual,105,Estándar,1.6,5.0,Combustión,107,No,Renault,7,Sedan
4x4,Automático,273,Gasolina,3.7,6.0,Combustión,270,No,Mazda,10,Suv
4x2,Automático,365,Gasolina,3.3,8.0,Combustión,376,Sí,Kia,7,Sedan
4x2,Automático,290,Estándar,3.6,5.0,Combustión,260,No,Jeep,14,Suv
4x4,Automático,310,Gasolina,3.6,8.0,Combustión,274,No,Cadillac,7,Suv
4x2,Automático,105,Gasolina,1.2,7.0,Combustión,129,Sí,Seat,10,Hatchback
4x4,Automático,276,Gasolina,3.6,8.0,Combustión,266,No,Volkswagen,8,Suv
4x2,Automático,235,Gasolina,2.0,9.0,Combustión,258,Sí,Cadillac,6,Suv
4x2,Automático,280,Gasolina,2.5,6.0,Combustión,250,No,Ford,9,Suv
4x4,Automático,252,Gasolina,2.0,7.0,Combustión,273,Sí,Audi,7,Sedan
4x2,Automático,148,Gasolina,2.0,6.0,Combustión,144,No,Mazda,5,Suv
4x2,Automático,105,Estándar,1.6,6.0,Combustión,113,No,Volkswagen,5,Hatchback
4x2,Automático,180,Gasolina,1.8,7.0,Combustión,184,Sí,Audi,11,Hatchback
4x2,Automático,146,Híbrido,1.6,6.0,Eléctrico,195,No,Kia,8,Suv
4x2,Automático,190,Gasolina,2.0,6.0,Combustión,221,Sí,Volvo,7,Hatchback
4x2,Automático,237,Gasolina,1.8,6.0,Combustión,251,Sí,Alfa Romeo,7,Hatchback
4x2,Automático,184,Gasolina,2.4,9.0,Combustión,171,No,Jeep,9,Suv
4x2,Automático,381,Estándar,5.7,6.0,Combustión,401,No,Toyota,10,Suv
4x2,Automático,245,Gasolina,2.0,8.0,Combustión,258,Sí,Volvo,8,Suv
4x2,Automático,140,Gasolina,1.8,6.0,Combustión,129,No,Chevrolet,8,Suv
4x4,Automático,170,Gasolina,2.0,7.0,Combustión,153,Sí,Audi,12,Suv
4x2,Manual,120,Gasolina,1.6,6.0,Combustión,112,No,Kia,7,Hatchback
4x2,Manual,88,Gasolina,1.2,5.0,Combustión,88,No,Hyundai,9,Hatchback
4x2,Automático,134,Gasolina,1.5,8.0,Combustión,162,Sí,Bmw,7,Hatchback
4x2,Manual,97,Gasolina,1.3,5.0,Combustión,94,No,Fiat,4,Hatchback
4x4,Automático,211,Gasolina,2.0,7.0,Combustión,258,Sí,Mercedes Benz,8,Suv
4x2,Manual,106,Gasolina,1.6,5.0,Combustión,105,No,Nissan,8,Hatchback
4x2,Automático,130,Gasolina,1.8,6.0,Combustión,134,No,Jeep,8,Suv
4x2,Automático,182,Gasolina,2.4,6.0,Combustión,172,No,Chevrolet,9,Suv
4x2,Automático,306,Estándar,3.5,7.0,Combustión,273,No,Mercedes Benz,10,Suv
4x2,Automático,160,Gasolina,2.0,6.0,Combustión,146,No,Ford,10,Sedan
4x2,Manual,118,Gasolina,1.6,5.0,Combustión,110,No,Nissan,5,Suv
4x2,Manual,81,Gasolina,1.2,5.0,Combustión,80,No,Chevrolet,5,Hatchback
4x2,Manual,105,Gasolina,1.5,5.0,Combustión,105,No,Ford,7,Hatchback
4x2,Automático,185,Estándar,2.4,6.0,Combustión,178,No,Kia,9,Sedan
4x4,Automático,290,Gasolina,3.5,6.0,Combustión,255,No,Ford,9,Suv
4x4,Automático,340,Estándar,3.0,7.0,Combustión,339,Sí,Porsche,8,Suv
4x2,Manual,100,Estándar,1.4,5.0,Combustión,98,No,Suzuki,11,Hatchback
4x4,Automático,252,Gasolina,2.0,8.0,Combustión,258,Sí,Bmw,5,Suv
4x4,Automático,176,Estándar,2.5,6.0,Combustión,172,No,Toyota,10,Suv
4x2,Automático,268,Gasolina,3.5,6.0,Combustión,248,No,Toyota,10,Sedan
4x4,Automático,288,Estándar,3.6,6.0,Combustión,270,No,Buick,10,Suv
4x2,Automático,181,Gasolina,1.6,8.0,Combustión,199,Sí,Bmw,6,Hatchback
4x2,Automático,110,Gasolina,1.6,6.0,Combustión,114,No,Volkswagen,4,Suv
4x4,Automático,222,Gasolina,2.0,8.0,Combustión,258,Sí,Audi,11,Suv
4x2,Automático,181,Estándar,2.0,7.0,Combustión,221,Sí,Mercedes Benz,9,Sedan
4x2,Automático,150,Gasolina,1.4,7.0,Combustión,184,Sí,Audi,7,Suv
4x2,Manual,250,Gasolina,2.0,6.0,Combustión,270,Sí,Ford,9,Hatchback
4x2,Manual,141,Gasolina,1.8,6.0,Combustión,127,No,Honda,7,Suv
4x2,Automático,188,Gasolina,2.5,6.0,Combustión,184,No,Mazda,9,Sedan
4x2,Automático,184,Estándar,2.0,8.0,Híbrido,310,Sí,Bmw,7,Sedan
4x4,Automático,420,Estándar,6.2,8.0,Combustión,450,No,Gmc,8,Pickup
4x4,Automático,240,Gasolina,2.0,9.0,Combustión,250,Sí,Land Rover,10,Suv
4x2,Automático,155,Gasolina,2.0,6.0,Combustión,148,No,Mazda,10,Suv
4x2,Manual,125,Gasolina,1.4,6.0,Combustión,148,Sí,Seat,7,Hatchback
4x2,Manual,125,Gasolina,1.8,6.0,Combustión,128,No,Nissan,7,Sedan
4x2,Automático,121,Gasolina,1.5,6.0,Combustión,109,No,Ford,6,Sedan
4x2,Automático,290,Gasolina,3.3,6.0,Combustión,252,No,Kia,9,Suv
4x4,Automático,249,Gasolina,2.0,8.0,Combustión,258,Sí,Bmw,6,Suv
4x2,Automático,130,Gasolina,1.8,6.0,Combustión,134,No,Jeep,7,Suv
4x2,Automático,266,Estándar,3.5,6.0,Combustión,245,No,Toyota,9,Minivan
4x2,Automático,150,Gasolina,1.4,7.0,Combustión,148,Sí,Seat,6,Suv
4x2,Automático,276,Estándar,3.6,6.0,Combustión,265,No,Volkswagen,12,Sedan
4x2,Automático,360,Gasolina,5.7,8.0,Combustión,390,No,Dodge,11,Suv
4x2,Manual,121,Gasolina,1.6,6.0,Combustión,111,No,Kia,4,Hatchback
4x2,Manual,69,Gasolina,1.0,5.0,Combustión,68,No,Fiat,7,Hatchback
4x2,Automático,138,Gasolina,1.4,6.0,Combustión,162,Sí,Suzuki,7,Suv
4x2,Automático,188,Gasolina,2.5,6.0,Combustión,186,No,Mazda,6,Suv
4x2,Automático,249,Gasolina,2.0,8.0,Combustión,258,Sí,Bmw,8,Sedan
4x2,Automático,148,Estándar,1.4,6.0,Combustión,184,Sí,Volkswagen,6,Suv
4x2,Automático,355,Estándar,5.3,6.0,Combustión,383,No,Chevrolet,9,Suv
4x2,Manual,136,Estándar,1.5,6.0,Combustión,162,Sí,Mini,9,Hatchback
4x2,Automático,121,Estándar,1.6,6.0,Combustión,111,No,Hyundai,7,Sedan
4x4,Automático,211,Gasolina,2.0,7.0,Combustión,221,Sí,Audi,10,Suv
4x2,Automático,140,Gasolina,1.8,6.0,Combustión,129,No,Chevrolet,5,Suv
4x2,Manual,100,Gasolina,1.6,5.0,Combustión,105,No,Volkswagen,8,Hatchback
4x2,Automático,192,Gasolina,2.0,7.0,Combustión,206,Sí,Mini,4,Convertible
4x2,Automático,245,Estándar,2.0,6.0,Combustión,275,Sí,Ford,7,Suv
4x2,Automático,323,Gasolina,3.6,6.0,Combustión,278,No,Chevrolet,10,Coupe
4x2,Automático,86,Gasolina,1.2,4.0,Combustión,88,No,Hyundai,7,Hatchback
4x4,Automático,310,Gasolina,3.6,8.0,Combustión,274,No,Cadillac,6,Suv
